"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype","mditype_store"
"05121","Randolph",5,121,"Arkansas","County/district-based coroner offices","Coroner"
"05039","Dallas",5,39,"Arkansas","County/district-based coroner offices","Coroner"
"05113","Polk",5,113,"Arkansas","County/district-based coroner offices","Coroner"
"05087","Madison",5,87,"Arkansas","County/district-based coroner offices","Coroner"
"05019","Clark",5,19,"Arkansas","County/district-based coroner offices","Coroner"
"05129","Searcy",5,129,"Arkansas","County/district-based coroner offices","Coroner"
"05029","Conway",5,29,"Arkansas","County/district-based coroner offices","Coroner"
"05077","Lee",5,77,"Arkansas","County/district-based coroner offices","Coroner"
"05097","Montgomery",5,97,"Arkansas","County/district-based coroner offices","Coroner"
"05043","Drew",5,43,"Arkansas","County/district-based coroner offices","Coroner"
"05115","Pope",5,115,"Arkansas","County/district-based coroner offices","Coroner"
"05051","Garland",5,51,"Arkansas","County/district-based coroner offices","Coroner"
"05111","Poinsett",5,111,"Arkansas","County/district-based coroner offices","Coroner"
"05109","Pike",5,109,"Arkansas","County/district-based coroner offices","Coroner"
"05123","St. Francis",5,123,"Arkansas","County/district-based coroner offices","Coroner"
"05031","Craighead",5,31,"Arkansas","County/district-based coroner offices","Coroner"
"05147","Woodruff",5,147,"Arkansas","County/district-based coroner offices","Coroner"
"05009","Boone",5,9,"Arkansas","County/district-based coroner offices","Coroner"
"05001","Arkansas (county)",5,1,"Arkansas","County/district-based coroner offices","Coroner"
"05027","Columbia",5,27,"Arkansas","County/district-based coroner offices","Coroner"
"05045","Faulkner",5,45,"Arkansas","County/district-based coroner offices","Coroner"
"05083","Logan",5,83,"Arkansas","County/district-based coroner offices","Coroner"
"05141","Van Buren",5,141,"Arkansas","County/district-based coroner offices","Coroner"
"05017","Chicot",5,17,"Arkansas","County/district-based coroner offices","Coroner"
"05085","Lonoke",5,85,"Arkansas","County/district-based coroner offices","Coroner"
"05117","Prairie",5,117,"Arkansas","County/district-based coroner offices","Coroner"
"05015","Carroll",5,15,"Arkansas","County/district-based coroner offices","Coroner"
"05091","Miller",5,91,"Arkansas","County/district-based coroner offices","Coroner"
"05079","Lincoln",5,79,"Arkansas","County/district-based coroner offices","Coroner"
"05067","Jackson",5,67,"Arkansas","County/district-based coroner offices","Coroner"
"05065","Izard",5,65,"Arkansas","County/district-based coroner offices","Coroner"
"05069","Jefferson",5,69,"Arkansas","County/district-based coroner offices","Coroner"
"05131","Sebastian",5,131,"Arkansas","County/district-based coroner offices","Coroner"
"05053","Grant",5,53,"Arkansas","County/district-based coroner offices","Coroner"
"05103","Ouachita",5,103,"Arkansas","County/district-based coroner offices","Coroner"
"05003","Ashley",5,3,"Arkansas","County/district-based coroner offices","Coroner"
"05057","Hempstead",5,57,"Arkansas","County/district-based coroner offices","Coroner"
"05049","Fulton",5,49,"Arkansas","County/district-based coroner offices","Coroner"
"05099","Nevada",5,99,"Arkansas","County/district-based coroner offices","Coroner"
"05055","Greene",5,55,"Arkansas","County/district-based coroner offices","Coroner"
"05023","Cleburne",5,23,"Arkansas","County/district-based coroner offices","Coroner"
"05033","Crawford",5,33,"Arkansas","County/district-based coroner offices","Coroner"
"05047","Franklin",5,47,"Arkansas","County/district-based coroner offices","Coroner"
"05107","Phillips",5,107,"Arkansas","County/district-based coroner offices","Coroner"
"05035","Crittenden",5,35,"Arkansas","County/district-based coroner offices","Coroner"
"05089","Marion",5,89,"Arkansas","County/district-based coroner offices","Coroner"
"05011","Bradley",5,11,"Arkansas","County/district-based coroner offices","Coroner"
"05139","Union",5,139,"Arkansas","County/district-based coroner offices","Coroner"
"05105","Perry",5,105,"Arkansas","County/district-based coroner offices","Coroner"
"05101","Newton",5,101,"Arkansas","County/district-based coroner offices","Coroner"
"05125","Saline",5,125,"Arkansas","County/district-based coroner offices","Coroner"
"05013","Calhoun",5,13,"Arkansas","County/district-based coroner offices","Coroner"
"05095","Monroe",5,95,"Arkansas","County/district-based coroner offices","Coroner"
"05093","Mississippi",5,93,"Arkansas","County/district-based coroner offices","Coroner"
"05075","Lawrence",5,75,"Arkansas","County/district-based coroner offices","Coroner"
"05021","Clay",5,21,"Arkansas","County/district-based coroner offices","Coroner"
"05005","Baxter",5,5,"Arkansas","County/district-based coroner offices","Coroner"
"05059","Hot Spring",5,59,"Arkansas","County/district-based coroner offices","Coroner"
"05137","Stone",5,137,"Arkansas","County/district-based coroner offices","Coroner"
"05007","Benton",5,7,"Arkansas","County/district-based coroner offices","Coroner"
"05143","Washington",5,143,"Arkansas","County/district-based coroner offices","Coroner"
"05025","Cleveland",5,25,"Arkansas","County/district-based coroner offices","Coroner"
"05071","Johnson",5,71,"Arkansas","County/district-based coroner offices","Coroner"
"05073","Lafayette",5,73,"Arkansas","County/district-based coroner offices","Coroner"
"05119","Pulaski",5,119,"Arkansas","County/district-based coroner offices","Coroner"
"05041","Desha",5,41,"Arkansas","County/district-based coroner offices","Coroner"
"05037","Cross",5,37,"Arkansas","County/district-based coroner offices","Coroner"
"05127","Scott",5,127,"Arkansas","County/district-based coroner offices","Coroner"
"05133","Sevier",5,133,"Arkansas","County/district-based coroner offices","Coroner"
"05061","Howard",5,61,"Arkansas","County/district-based coroner offices","Coroner"
"05063","Independence",5,63,"Arkansas","County/district-based coroner offices","Coroner"
"05081","Little River",5,81,"Arkansas","County/district-based coroner offices","Coroner"
"05145","White",5,145,"Arkansas","County/district-based coroner offices","Coroner"
"05135","Sharp",5,135,"Arkansas","County/district-based coroner offices","Coroner"
"05149","Yell",5,149,"Arkansas","County/district-based coroner offices","Coroner"
