"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"06001","Alameda",6,1,"California","Coroner"
"06075","San Francisco",6,75,"California","Medical Examiner"
"06099","Stanislaus",6,99,"California","Coroner"
"06047","Merced",6,47,"California","Coroner"
"06057","Nevada",6,57,"California","Coroner"
"06003","Alpine",6,3,"California","Coroner"
"06017","El Dorado",6,17,"California","Coroner"
"06063","Plumas",6,63,"California","Coroner"
"06061","Placer",6,61,"California","Coroner"
"06021","Glenn",6,21,"California","Coroner"
"06069","San Benito",6,69,"California","Coroner"
"06043","Mariposa",6,43,"California","Coroner"
"06053","Monterey",6,53,"California","Coroner"
"06009","Calaveras",6,9,"California","Coroner"
"06045","Mendocino",6,45,"California","Coroner"
"06031","Kings",6,31,"California","Coroner"
"06095","Solano",6,95,"California","Coroner"
"06005","Amador",6,5,"California","Coroner"
"06077","San Joaquin",6,77,"California","Coroner"
"06033","Lake",6,33,"California","Coroner"
"06041","Marin",6,41,"California","Coroner"
"06101","Sutter",6,101,"California","Coroner"
"06105","Trinity",6,105,"California","Coroner"
"06023","Humboldt",6,23,"California","Coroner"
"06037","Los Angeles",6,37,"California","Medical Examiner"
"06103","Tehama",6,103,"California","Coroner"
"06055","Napa",6,55,"California","Coroner"
"06111","Ventura",6,111,"California","Medical Examiner"
"06073","San Diego",6,73,"California","Medical Examiner"
"06089","Shasta",6,89,"California","Coroner"
"06049","Modoc",6,49,"California","Coroner"
"06039","Madera",6,39,"California","Coroner"
"06107","Tulare",6,107,"California","Coroner"
"06093","Siskiyou",6,93,"California","Coroner"
"06025","Imperial",6,25,"California","Coroner"
"06071","San Bernardino",6,71,"California","Coroner"
"06059","Orange",6,59,"California","Coroner"
"06097","Sonoma",6,97,"California","Coroner"
"06081","San Mateo",6,81,"California","Coroner"
"06035","Lassen",6,35,"California","Coroner"
"06015","Del Norte",6,15,"California","Coroner"
"06113","Yolo",6,113,"California","Coroner"
"06087","Santa Cruz",6,87,"California","Coroner"
"06079","San Luis Obispo",6,79,"California","Coroner"
"06007","Butte",6,7,"California","Coroner"
"06065","Riverside",6,65,"California","Coroner"
"06067","Sacramento",6,67,"California","Coroner"
"06013","Contra Costa",6,13,"California","Coroner"
"06019","Fresno",6,19,"California","Coroner"
"06085","Santa Clara",6,85,"California","Medical Examiner"
"06083","Santa Barbara",6,83,"California","Coroner"
"06011","Colusa",6,11,"California","Coroner"
"06027","Inyo",6,27,"California","Coroner"
"06091","Sierra",6,91,"California","Coroner"
"06029","Kern",6,29,"California","Coroner"
"06115","Yuba",6,115,"California","Coroner"
"06109","Tuolumne",6,109,"California","Coroner"
"06051","Mono",6,51,"California","Coroner"
