"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype","mditype_store"
"18109","Morgan",18,109,"Indiana","County/district-based coroner offices","Coroner"
"18175","Washington",18,175,"Indiana","County/district-based coroner offices","Coroner"
"18003","Allen",18,3,"Indiana","County/district-based coroner offices","Coroner"
"18005","Bartholomew",18,5,"Indiana","County/district-based coroner offices","Coroner"
"18095","Madison",18,95,"Indiana","County/district-based coroner offices","Coroner"
"18027","Daviess",18,27,"Indiana","County/district-based coroner offices","Coroner"
"18183","Whitley",18,183,"Indiana","County/district-based coroner offices","Coroner"
"18031","Decatur",18,31,"Indiana","County/district-based coroner offices","Coroner"
"18009","Blackford",18,9,"Indiana","County/district-based coroner offices","Coroner"
"18105","Monroe",18,105,"Indiana","County/district-based coroner offices","Coroner"
"18139","Rush",18,139,"Indiana","County/district-based coroner offices","Coroner"
"18081","Johnson",18,81,"Indiana","County/district-based coroner offices","Coroner"
"18065","Henry",18,65,"Indiana","County/district-based coroner offices","Coroner"
"18001","Adams",18,1,"Indiana","County/district-based coroner offices","Coroner"
"18025","Crawford",18,25,"Indiana","County/district-based coroner offices","Coroner"
"18157","Tippecanoe",18,157,"Indiana","County/district-based coroner offices","Coroner"
"18023","Clinton",18,23,"Indiana","County/district-based coroner offices","Coroner"
"18161","Union",18,161,"Indiana","County/district-based coroner offices","Coroner"
"18151","Steuben",18,151,"Indiana","County/district-based coroner offices","Coroner"
"18167","Vigo",18,167,"Indiana","County/district-based coroner offices","Coroner"
"18017","Cass",18,17,"Indiana","County/district-based coroner offices","Coroner"
"18169","Wabash",18,169,"Indiana","County/district-based coroner offices","Coroner"
"18107","Montgomery",18,107,"Indiana","County/district-based coroner offices","Coroner"
"18141","St. Joseph",18,141,"Indiana","County/district-based coroner offices","Coroner"
"18041","Fayette",18,41,"Indiana","County/district-based coroner offices","Coroner"
"18083","Knox",18,83,"Indiana","County/district-based coroner offices","Coroner"
"18053","Grant",18,53,"Indiana","County/district-based coroner offices","Coroner"
"18099","Marshall",18,99,"Indiana","County/district-based coroner offices","Coroner"
"18163","Vanderburgh",18,163,"Indiana","County/district-based coroner offices","Coroner"
"18165","Vermillion",18,165,"Indiana","County/district-based coroner offices","Coroner"
"18093","Lawrence",18,93,"Indiana","County/district-based coroner offices","Coroner"
"18059","Hancock",18,59,"Indiana","County/district-based coroner offices","Coroner"
"18121","Parke",18,121,"Indiana","County/district-based coroner offices","Coroner"
"18137","Ripley",18,137,"Indiana","County/district-based coroner offices","Coroner"
"18057","Hamilton",18,57,"Indiana","County/district-based coroner offices","Coroner"
"18181","White",18,181,"Indiana","County/district-based coroner offices","Coroner"
"18089","Lake",18,89,"Indiana","County/district-based coroner offices","Coroner"
"18035","Delaware",18,35,"Indiana","County/district-based coroner offices","Coroner"
"18069","Huntington",18,69,"Indiana","County/district-based coroner offices","Coroner"
"18131","Pulaski",18,131,"Indiana","County/district-based coroner offices","Coroner"
"18159","Tipton",18,159,"Indiana","County/district-based coroner offices","Coroner"
"18087","LaGrange",18,87,"Indiana","County/district-based coroner offices","Coroner"
"18143","Scott",18,143,"Indiana","County/district-based coroner offices","Coroner"
"18039","Elkhart",18,39,"Indiana","County/district-based coroner offices","Coroner"
"18173","Warrick",18,173,"Indiana","County/district-based coroner offices","Coroner"
"18067","Howard",18,67,"Indiana","County/district-based coroner offices","Coroner"
"18147","Spencer",18,147,"Indiana","County/district-based coroner offices","Coroner"
"18177","Wayne",18,177,"Indiana","County/district-based coroner offices","Coroner"
"18021","Clay",18,21,"Indiana","County/district-based coroner offices","Coroner"
"18013","Brown",18,13,"Indiana","County/district-based coroner offices","Coroner"
"18119","Owen",18,119,"Indiana","County/district-based coroner offices","Coroner"
"18135","Randolph",18,135,"Indiana","County/district-based coroner offices","Coroner"
"18007","Benton",18,7,"Indiana","County/district-based coroner offices","Coroner"
"18075","Jay",18,75,"Indiana","County/district-based coroner offices","Coroner"
"18043","Floyd",18,43,"Indiana","County/district-based coroner offices","Coroner"
"18033","DeKalb",18,33,"Indiana","County/district-based coroner offices","Coroner"
"18037","Dubois",18,37,"Indiana","County/district-based coroner offices","Coroner"
"18155","Switzerland",18,155,"Indiana","County/district-based coroner offices","Coroner"
"18153","Sullivan",18,153,"Indiana","County/district-based coroner offices","Coroner"
"18051","Gibson",18,51,"Indiana","County/district-based coroner offices","Coroner"
"18073","Jasper",18,73,"Indiana","County/district-based coroner offices","Coroner"
"18103","Miami",18,103,"Indiana","County/district-based coroner offices","Coroner"
"18171","Warren",18,171,"Indiana","County/district-based coroner offices","Coroner"
"18123","Perry",18,123,"Indiana","County/district-based coroner offices","Coroner"
"18029","Dearborn",18,29,"Indiana","County/district-based coroner offices","Coroner"
"18101","Martin",18,101,"Indiana","County/district-based coroner offices","Coroner"
"18115","Ohio",18,115,"Indiana","County/district-based coroner offices","Coroner"
"18077","Jefferson",18,77,"Indiana","County/district-based coroner offices","Coroner"
"18113","Noble",18,113,"Indiana","County/district-based coroner offices","Coroner"
"18061","Harrison",18,61,"Indiana","County/district-based coroner offices","Coroner"
"18015","Carroll",18,15,"Indiana","County/district-based coroner offices","Coroner"
"18179","Wells",18,179,"Indiana","County/district-based coroner offices","Coroner"
"18117","Orange",18,117,"Indiana","County/district-based coroner offices","Coroner"
"18071","Jackson",18,71,"Indiana","County/district-based coroner offices","Coroner"
"18063","Hendricks",18,63,"Indiana","County/district-based coroner offices","Coroner"
"18079","Jennings",18,79,"Indiana","County/district-based coroner offices","Coroner"
"18047","Franklin",18,47,"Indiana","County/district-based coroner offices","Coroner"
"18019","Clark",18,19,"Indiana","County/district-based coroner offices","Coroner"
"18127","Porter",18,127,"Indiana","County/district-based coroner offices","Coroner"
"18129","Posey",18,129,"Indiana","County/district-based coroner offices","Coroner"
"18011","Boone",18,11,"Indiana","County/district-based coroner offices","Coroner"
"18125","Pike",18,125,"Indiana","County/district-based coroner offices","Coroner"
