"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"36117","Wayne",36,117,"New York","Coroner"
"36087","Rockland",36,87,"New York","Medical Examiner"
"36037","Genesee",36,37,"New York","Coroner"
"36061","New York (county)",36,61,"New York","Medical Examiner"
"36113","Warren",36,113,"New York","Coroner"
"36057","Montgomery",36,57,"New York","Coroner"
"36001","Albany",36,1,"New York","Coroner"
"36053","Madison",36,53,"New York","Coroner"
"36099","Seneca",36,99,"New York","Coroner"
"36017","Chenango",36,17,"New York","Medical Examiner"
"36059","Nassau",36,59,"New York","Medical Examiner"
"36021","Columbia",36,21,"New York","Coroner"
"36107","Tioga",36,107,"New York","Coroner"
"36009","Cattaraugus",36,9,"New York","Coroner"
"36003","Allegany",36,3,"New York","Coroner"
"36073","Orleans",36,73,"New York","Coroner"
"36013","Chautauqua",36,13,"New York","Coroner"
"36041","Hamilton",36,41,"New York","Coroner"
"36067","Onondaga",36,67,"New York","Medical Examiner"
"36035","Fulton",36,35,"New York","Coroner"
"36063","Niagara",36,63,"New York","Coroner"
"36095","Schoharie",36,95,"New York","Coroner"
"36075","Oswego",36,75,"New York","Coroner"
"36005","Bronx",36,5,"New York","Medical Examiner"
"36123","Yates",36,123,"New York","Coroner"
"36015","Chemung",36,15,"New York","Coroner"
"36083","Rensselaer",36,83,"New York","Medical Examiner"
"36065","Oneida",36,65,"New York","Medical Examiner"
"36051","Livingston",36,51,"New York","Coroner"
"36081","Queens",36,81,"New York","Medical Examiner"
"36091","Saratoga",36,91,"New York","Coroner"
"36085","Richmond",36,85,"New York","Medical Examiner"
"36031","Essex",36,31,"New York","Coroner"
"36069","Ontario",36,69,"New York","Coroner"
"36103","Suffolk",36,103,"New York","Medical Examiner"
"36077","Otsego",36,77,"New York","Coroner"
"36105","Sullivan",36,105,"New York","Coroner"
"36121","Wyoming",36,121,"New York","Coroner"
"36109","Tompkins",36,109,"New York","Medical Examiner"
"36019","Clinton",36,19,"New York","Coroner"
"36119","Westchester",36,119,"New York","Medical Examiner"
"36023","Cortland",36,23,"New York","Coroner"
"36101","Steuben",36,101,"New York","Coroner"
"36093","Schenectady",36,93,"New York","Medical Examiner"
"36079","Putnam",36,79,"New York","Coroner"
"36045","Jefferson",36,45,"New York","Medical Examiner"
"36049","Lewis",36,49,"New York","Coroner"
"36027","Dutchess",36,27,"New York","Medical Examiner"
"36011","Cayuga",36,11,"New York","Coroner"
"36039","Greene",36,39,"New York","Coroner"
"36043","Herkimer",36,43,"New York","Coroner"
"36025","Delaware",36,25,"New York","Medical Examiner"
"36071","Orange",36,71,"New York","Medical Examiner"
"36033","Franklin",36,33,"New York","Coroner"
"36007","Broome",36,7,"New York","Coroner"
"36115","Washington",36,115,"New York","Coroner"
"36097","Schuyler",36,97,"New York","Coroner"
"36029","Erie",36,29,"New York","Medical Examiner"
"36047","Kings",36,47,"New York","Medical Examiner"
"36111","Ulster",36,111,"New York","Medical Examiner"
"36089","St. Lawrence",36,89,"New York","Coroner"
"36055","Monroe",36,55,"New York","Medical Examiner"
