"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"40101","Muskogee",40,101,"Oklahoma","Medical Examiner"
"40033","Cotton",40,33,"Oklahoma","Medical Examiner"
"40119","Payne",40,119,"Oklahoma","Medical Examiner"
"40035","Craig",40,35,"Oklahoma","Medical Examiner"
"40139","Texas",40,139,"Oklahoma","Medical Examiner"
"40081","Lincoln",40,81,"Oklahoma","Medical Examiner"
"40103","Noble",40,103,"Oklahoma","Medical Examiner"
"40043","Dewey",40,43,"Oklahoma","Medical Examiner"
"40077","Latimer",40,77,"Oklahoma","Medical Examiner"
"40131","Rogers",40,131,"Oklahoma","Medical Examiner"
"40001","Adair",40,1,"Oklahoma","Medical Examiner"
"40027","Cleveland",40,27,"Oklahoma","Medical Examiner"
"40049","Garvin",40,49,"Oklahoma","Medical Examiner"
"40071","Kay",40,71,"Oklahoma","Medical Examiner"
"40019","Carter",40,19,"Oklahoma","Medical Examiner"
"40059","Harper",40,59,"Oklahoma","Medical Examiner"
"40069","Johnston",40,69,"Oklahoma","Medical Examiner"
"40067","Jefferson",40,67,"Oklahoma","Medical Examiner"
"40073","Kingfisher",40,73,"Oklahoma","Medical Examiner"
"40047","Garfield",40,47,"Oklahoma","Medical Examiner"
"40109","Oklahoma (county)",40,109,"Oklahoma","Medical Examiner"
"40011","Blaine",40,11,"Oklahoma","Medical Examiner"
"40083","Logan",40,83,"Oklahoma","Medical Examiner"
"40133","Seminole",40,133,"Oklahoma","Medical Examiner"
"40021","Cherokee",40,21,"Oklahoma","Medical Examiner"
"40057","Harmon",40,57,"Oklahoma","Medical Examiner"
"40097","Mayes",40,97,"Oklahoma","Medical Examiner"
"40095","Marshall",40,95,"Oklahoma","Medical Examiner"
"40127","Pushmataha",40,127,"Oklahoma","Medical Examiner"
"40153","Woodward",40,153,"Oklahoma","Medical Examiner"
"40017","Canadian",40,17,"Oklahoma","Medical Examiner"
"40039","Custer",40,39,"Oklahoma","Medical Examiner"
"40031","Comanche",40,31,"Oklahoma","Medical Examiner"
"40025","Cimarron",40,25,"Oklahoma","Medical Examiner"
"40107","Okfuskee",40,107,"Oklahoma","Medical Examiner"
"40075","Kiowa",40,75,"Oklahoma","Medical Examiner"
"40003","Alfalfa",40,3,"Oklahoma","Medical Examiner"
"40113","Osage",40,113,"Oklahoma","Medical Examiner"
"40145","Wagoner",40,145,"Oklahoma","Medical Examiner"
"40051","Grady",40,51,"Oklahoma","Medical Examiner"
"40151","Woods",40,151,"Oklahoma","Medical Examiner"
"40007","Beaver",40,7,"Oklahoma","Medical Examiner"
"40061","Haskell",40,61,"Oklahoma","Medical Examiner"
"40015","Caddo",40,15,"Oklahoma","Medical Examiner"
"40105","Nowata",40,105,"Oklahoma","Medical Examiner"
"40123","Pontotoc",40,123,"Oklahoma","Medical Examiner"
"40029","Coal",40,29,"Oklahoma","Medical Examiner"
"40135","Sequoyah",40,135,"Oklahoma","Medical Examiner"
"40085","Love",40,85,"Oklahoma","Medical Examiner"
"40129","Roger Mills",40,129,"Oklahoma","Medical Examiner"
"40079","Le Flore",40,79,"Oklahoma","Medical Examiner"
"40037","Creek",40,37,"Oklahoma","Medical Examiner"
"40143","Tulsa",40,143,"Oklahoma","Medical Examiner"
"40053","Grant",40,53,"Oklahoma","Medical Examiner"
"40125","Pottawatomie",40,125,"Oklahoma","Medical Examiner"
"40121","Pittsburg",40,121,"Oklahoma","Medical Examiner"
"40149","Washita",40,149,"Oklahoma","Medical Examiner"
"40041","Delaware",40,41,"Oklahoma","Medical Examiner"
"40045","Ellis",40,45,"Oklahoma","Medical Examiner"
"40005","Atoka",40,5,"Oklahoma","Medical Examiner"
"40065","Jackson",40,65,"Oklahoma","Medical Examiner"
"40137","Stephens",40,137,"Oklahoma","Medical Examiner"
"40055","Greer",40,55,"Oklahoma","Medical Examiner"
"40087","McClain",40,87,"Oklahoma","Medical Examiner"
"40111","Okmulgee",40,111,"Oklahoma","Medical Examiner"
"40117","Pawnee",40,117,"Oklahoma","Medical Examiner"
"40013","Bryan",40,13,"Oklahoma","Medical Examiner"
"40023","Choctaw",40,23,"Oklahoma","Medical Examiner"
"40063","Hughes",40,63,"Oklahoma","Medical Examiner"
"40091","McIntosh",40,91,"Oklahoma","Medical Examiner"
"40147","Washington",40,147,"Oklahoma","Medical Examiner"
"40115","Ottawa",40,115,"Oklahoma","Medical Examiner"
"40093","Major",40,93,"Oklahoma","Medical Examiner"
"40089","McCurtain",40,89,"Oklahoma","Medical Examiner"
"40141","Tillman",40,141,"Oklahoma","Medical Examiner"
"40009","Beckham",40,9,"Oklahoma","Medical Examiner"
"40099","Murray",40,99,"Oklahoma","Medical Examiner"
